cluster_id,n_delivery_nodes,n_total_nodes,n_qubits,nisq_safe,node_indices,centroid_x,centroid_y
0,3,4,12,YES,"[17, 25, 26]",95.824,82.612
1,4,5,20,YES,"[9, 11, 30, 42]",35.594,31.353
2,4,5,20,YES,"[5, 16, 21, 34]",4.864,95.375
3,2,3,6,YES,"[3, 36]",3.18,84.082
4,3,4,12,YES,"[6, 35, 38]",79.199,16.17
5,2,3,6,YES,"[19, 48]",60.348,43.385
6,3,4,12,YES,"[4, 12, 27]",55.169,80.504
7,4,5,20,YES,"[2, 7, 28, 49]",11.294,16.082
8,1,2,2,YES,[29],4.523,32.533
9,4,5,20,YES,"[10, 14, 15, 24]",58.963,13.533
10,3,4,12,YES,"[40, 46, 47]",79.829,55.946
11,3,4,12,YES,"[1, 37, 43]",72.282,65.507
12,2,3,6,YES,"[13, 20]",16.086,50.471
13,3,4,12,YES,"[8, 23, 32]",29.896,52.917
14,3,4,12,YES,"[18, 39, 41]",33.133,9.237
15,3,4,12,YES,"[22, 33, 45]",17.31,72.599
16,2,3,6,YES,"[31, 44]",85.798,41.448
